R4-C10-N0-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 7818
R2-C8-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 6765
R2-C7-N3-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 6684
R4-C17-N0-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 6544
R2-C8-N0-O0-F0-P0-S1-Cl0-Br0-I0-Bes0-AR2 6519
R1-C6-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 6468
R2-C6-N3-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 6167
R1-C4-N1-O1-F0-P0-S0-Cl0-Br0-I0-Bes1-AR0 6140
R3-C10-N3-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR3 6059
R2-C7-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 5885
R2-C8-N1-O1-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 5605
R2-C7-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 5310
R3-C11-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 5015
R1-C5-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 4972
R2-C8-N0-O1-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 4886
R3-C9-N4-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR3 4506
R2-C7-N3-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 4475
R3-C13-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR3 4395
R3-C11-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR3 4005
R2-C8-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 3848
R2-C7-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 3764
R1-C4-N0-O0-F0-P0-S1-Cl0-Br0-I0-Bes0-AR0 3673
R2-C7-N1-O0-F0-P0-S1-Cl0-Br0-I0-Bes0-AR1 3655
R2-C9-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 3493
R2-C9-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 3419
R2-C8-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 3359
R2-C6-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 3300
R3-C12-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 3152
R2-C6-N4-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 3056
R1-C3-N2-O1-F0-P0-S0-Cl0-Br0-I0-Bes1-AR0 3033
R2-C6-N2-O1-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 2948
R1-C4-N1-O0-F0-P0-S1-Cl0-Br0-I0-Bes0-AR0 2818
R2-C7-N0-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 2807
R3-C13-N0-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 2791
R2-C5-N4-O1-F0-P0-S0-Cl0-Br0-I0-Bes1-AR2 2783
R3-C11-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 2663
R2-C5-N4-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 2641
R1-C3-N1-O1-F0-P0-S1-Cl0-Br0-I0-Bes1-AR0 2636
R3-C14-N0-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 2602
R2-C8-N0-O0-F0-P0-S1-Cl0-Br0-I0-Bes0-AR1 2579
R2-C10-N0-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 2557
R2-C10-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 2464
R3-C12-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR3 2406
R2-C4-N5-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 2387
R3-C7-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 2377
R1-C7-N0-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 2308
R1-C5-N0-O1-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 2294
R2-C8-N1-O1-F0-P0-S0-Cl0-Br0-I0-Bes1-AR1 2253
R3-C12-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 2211
R2-C8-N1-O0-F0-P0-S1-Cl0-Br0-I0-Bes0-AR1 2196
R2-C5-N3-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 2154
R1-C4-N0-O2-F0-P0-S0-Cl0-Br0-I0-Bes1-AR0 2144
R3-C12-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 2124
R3-C10-N2-O0-F0-P0-S1-Cl0-Br0-I0-Bes0-AR2 2121
R1-C3-N1-O0-F0-P0-S2-Cl0-Br0-I0-Bes1-AR0 2091
R2-C7-N2-O0-F0-P0-S1-Cl0-Br0-I0-Bes0-AR1 2078
R3-C13-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 2059
