========================================13/11/2022 09:59:51========================================
Step:1/5000 -- 0/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.082E+00 / 2.120E-01 / 8.503E-01 Valid: 2.519E+00 / 2.158E-01 / 8.714E-01
Step:1/5000 -- 1/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.082E+00 / 2.154E-01 / 8.484E-01 Valid: 2.524E+00 / 2.066E-01 / 8.389E-01
Step:1/5000 -- 2/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.096E+00 / 2.148E-01 / 8.514E-01 Valid: 2.536E+00 / 2.062E-01 / 8.342E-01
Step:1/5000 -- 3/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.064E+00 / 2.132E-01 / 8.461E-01 Valid: 2.677E+00 / 2.183E-01 / 8.539E-01
Step:1/5000 -- 4/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.076E+00 / 2.134E-01 / 8.469E-01 Valid: 2.629E+00 / 2.066E-01 / 8.425E-01
Step:1/5000 -- 5/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.117E+00 / 2.140E-01 / 8.436E-01 Valid: 2.647E+00 / 2.220E-01 / 8.391E-01
Step:1/5000 -- 6/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.109E+00 / 2.112E-01 / 8.468E-01 Valid: 2.455E+00 / 2.120E-01 / 8.563E-01
Step:1/5000 -- 7/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.078E+00 / 2.139E-01 / 8.438E-01 Valid: 2.549E+00 / 2.256E-01 / 8.504E-01
Step:1/5000 -- 8/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.058E+00 / 2.121E-01 / 8.412E-01 Valid: 2.638E+00 / 2.153E-01 / 8.381E-01
Step:1/5000 -- 9/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.075E+00 / 2.125E-01 / 8.424E-01 Valid: 2.579E+00 / 2.201E-01 / 8.538E-01
Step:1/5000 -- 10/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.064E+00 / 2.105E-01 / 8.427E-01 Valid: 2.515E+00 / 2.171E-01 / 8.516E-01
Step:1/5000 -- 11/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.054E+00 / 2.099E-01 / 8.290E-01 Valid: 2.677E+00 / 2.140E-01 / 8.423E-01
Step:1/5000 -- 12/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.038E+00 / 2.100E-01 / 8.353E-01 Valid: 2.588E+00 / 2.204E-01 / 8.514E-01
Step:1/5000 -- 13/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.078E+00 / 2.094E-01 / 8.278E-01 Valid: 2.489E+00 / 2.008E-01 / 8.231E-01
Step:1/5000 -- 14/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.025E+00 / 2.097E-01 / 8.261E-01 Valid: 2.484E+00 / 2.054E-01 / 8.266E-01
Step:1/5000 -- 15/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.077E+00 / 2.086E-01 / 8.317E-01 Valid: 2.638E+00 / 2.147E-01 / 8.582E-01
Step:1/5000 -- 16/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.069E+00 / 2.088E-01 / 8.284E-01 Valid: 2.669E+00 / 2.073E-01 / 8.481E-01
Step:1/5000 -- 17/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.045E+00 / 2.088E-01 / 8.233E-01 Valid: 2.500E+00 / 2.109E-01 / 8.194E-01
Step:1/5000 -- 18/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.036E+00 / 2.082E-01 / 8.241E-01 Valid: 2.567E+00 / 1.961E-01 / 8.174E-01
Step:1/5000 -- 19/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.035E+00 / 2.079E-01 / 8.296E-01 Valid: 2.570E+00 / 1.927E-01 / 8.102E-01
Step:1/5000 -- 20/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.048E+00 / 2.078E-01 / 8.162E-01 Valid: 2.564E+00 / 2.096E-01 / 7.979E-01
Step:1/5000 -- 21/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.051E+00 / 2.071E-01 / 8.103E-01 Valid: 2.685E+00 / 2.073E-01 / 8.178E-01
Step:1/5000 -- 22/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.022E+00 / 2.064E-01 / 8.128E-01 Valid: 2.609E+00 / 2.071E-01 / 8.338E-01
Step:1/5000 -- 23/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.003E+00 / 2.069E-01 / 8.145E-01 Valid: 2.663E+00 / 2.149E-01 / 8.086E-01
Step:1/5000 -- 24/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.044E+00 / 2.048E-01 / 8.095E-01 Valid: 2.559E+00 / 2.098E-01 / 8.212E-01
Step:1/5000 -- 25/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.063E+00 / 2.046E-01 / 8.184E-01 Valid: 2.629E+00 / 2.024E-01 / 8.159E-01
Step:1/5000 -- 26/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.026E+00 / 2.071E-01 / 8.077E-01 Valid: 2.492E+00 / 1.997E-01 / 7.951E-01
Step:1/5000 -- 27/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.025E+00 / 2.061E-01 / 8.096E-01 Valid: 2.491E+00 / 2.005E-01 / 7.850E-01
Step:1/5000 -- 28/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.000E+00 / 2.054E-01 / 8.100E-01 Valid: 2.431E+00 / 2.138E-01 / 7.998E-01
Step:1/5000 -- 29/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.011E+00 / 2.047E-01 / 8.112E-01 Valid: 2.433E+00 / 2.024E-01 / 8.188E-01
